id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
546099,Ménilmontant,48.86649,2.3975,3,101,0.87,2,3194.5164036110227,120.0,dec_2024
547904,Buttes-Montmartre,48.88408,2.33619,60,93,0.63,3,2592.5318248175836,105.0,dec_2024
551560,Panthéon,48.84715,2.35365,97,138,0.93,3,412.462020875961,129.0,dec_2024
557051,Hôtel-de-Ville,48.86156,2.35201,337,72,0.49,5,653.7885197811354,145.0,dec_2024
558304,Popincourt,48.85433,2.37193,333,213,1.53,3,906.0776084598862,120.0,dec_2024
563587,Opéra,48.88181,2.3348,365,131,0.87,6,2320.654972612575,96.0,dec_2024
566186,Bourse,48.86624,2.34412,349,107,0.76,3,948.7482628816896,170.0,dec_2024
566888,Opéra,48.87158,2.34681,312,88,0.59,3,1573.9975948702486,300.0,dec_2024
567001,Vaugirard,48.83341,2.29243,14,72,0.48,3,1850.2618240096003,125.0,dec_2024
568394,Hôtel-de-Ville,48.85885,2.35713,350,64,0.45,5,585.1107342575957,349.0,dec_2024
569654,Ménilmontant,48.866,2.38599,103,48,0.35,3,2475.389306523579,170.0,dec_2024
574232,Popincourt,48.851,2.38704,264,168,1.13,3,1586.7081487666328,130.0,dec_2024
574947,Buttes-Chaumont,48.88042,2.37476,326,10,0.08,5,3293.6404201725027,90.0,dec_2024
575108,Hôtel-de-Ville,48.85998,2.35546,59,54,0.36,4,616.8421090330374,450.0,dec_2024
576992,Temple,48.85817,2.36613,46,134,0.89,5,839.5246075130647,270.0,dec_2024
579284,Entrepôt,48.87339782714844,2.35265588760376,305,78,0.53,3,1895.0716808923326,145.0,dec_2024
579343,Ménilmontant,48.8720588684082,2.38995099067688,245,53,0.36,3,3149.7930337021335,200.0,dec_2024
579530,Observatoire,48.83232,2.31951,134,557,3.71,3,3034.56036978792,69.0,dec_2024
579977,Buttes-Chaumont,48.87424,2.38572,341,86,0.61,7,3130.027090508644,134.0,dec_2024
582718,Buttes-Montmartre,48.88995,2.33348,220,12,0.09,7,3122.7500667325417,125.0,dec_2024
586510,Entrepôt,48.87287,2.37204,152,75,0.5,3,2480.589498705359,180.0,dec_2024
586642,Luxembourg,48.85112,2.32897,35,64,0.45,3,960.844085176685,110.0,dec_2024
468471,Popincourt,48.85439,2.39,176,51,0.33,2,1999.7899668395312,95.0,dec_2024
469712,Panthéon,48.83716,2.35106,336,151,1.16,4,1405.4425573438457,248.0,dec_2024
471928,Buttes-Montmartre,48.88719200426633,2.347910176276533,178,0,,3,3276.4148477360595,300.0,dec_2024
474612,Ménilmontant,48.86793,2.38222,115,77,0.67,5,2426.8659238700493,250.0,dec_2024
476468,Popincourt,48.86084,2.37873,349,140,0.94,7,1700.5338908140595,120.0,dec_2024
477766,Popincourt,48.86906,2.37053,93,68,0.49,3,2055.120853705832,250.0,dec_2024
478380,Reuilly,48.8425,2.38621,77,51,0.34,6,951.7646698481923,93.0,dec_2024
479634,Panthéon,48.84001,2.34101,364,68,0.45,5,1493.3444201784007,100.0,dec_2024
479926,Bourse,48.86407,2.34869,73,329,2.15,3,818.6269432936406,130.0,dec_2024
485465,Passy,48.86453,2.28628,124,28,0.19,6,642.0473754540625,160.0,dec_2024
486138,Louvre,48.85941,2.34486,66,109,0.75,1,239.2177182126509,125.0,dec_2024
486547,Entrepôt,48.87381,2.35145,155,449,2.96,3,1911.5333492595619,150.0,dec_2024
489419,Opéra,48.88092,2.34441,254,163,1.07,4,2538.285611217383,200.0,dec_2024
489497,Hôtel-de-Ville,48.8569,2.35985,21,90,0.6,5,493.09384958637327,220.0,dec_2024
495927,Luxembourg,48.85653,2.33766,364,65,0.47,4,154.01998350930384,100.0,dec_2024
497821,Palais-Bourbon,48.85259,2.31288,339,112,0.74,4,1231.8059765315215,220.0,dec_2024
502895,Entrepôt,48.87325,2.35321,322,172,1.16,2,1891.9070557981875,245.0,dec_2024
503231,Batignolles-Monceau,48.87797,2.29403,317,245,1.64,3,1675.1224264155107,100.0,dec_2024
503497,Buttes-Chaumont,48.876929,2.391641,269,11,0.09,3,3635.0128179704134,320.0,dec_2024
505610,Gobelins,48.83261,2.36548,276,172,1.14,3,925.6156913284934,120.0,dec_2024
507108,Observatoire,48.82973,2.32521,127,29,0.21,2,3055.649031034836,300.0,dec_2024
507255,Buttes-Montmartre,48.884125,2.34065,285,227,1.6,5,2733.480141691275,96.0,dec_2024
509663,Buttes-Chaumont,48.87582,2.37349,19,5,0.19,3,2819.0938045338476,152.0,dec_2024
510983,Ménilmontant,48.87131,2.39592,318,149,0.98,7,3412.8960494570265,120.0,dec_2024
518742,Luxembourg,48.85164,2.33903,282,228,1.5,2,461.63656300457467,155.0,dec_2024
522835,Ménilmontant,48.87057,2.39617,334,28,0.19,5,3374.9245778168342,100.0,dec_2024
529549,Observatoire,48.82643,2.32947,363,105,0.69,4,3224.283993782138,97.0,dec_2024
529711,Buttes-Montmartre,48.88685,2.34494,349,60,0.42,3,3141.579319861925,120.0,dec_2024
590712,Popincourt,48.85232,2.37299,309,423,2.83,2,918.0963953884682,162.0,dec_2024
591988,Popincourt,48.85636,2.36954,364,120,0.97,4,862.3423321044236,200.0,dec_2024
595610,Panthéon,48.84563,2.35538,228,288,1.93,6,494.90828352273553,210.0,dec_2024
599179,Buttes-Montmartre,48.89481,2.34554,259,106,0.71,5,3963.432634226833,119.0,dec_2024
599419,Hôtel-de-Ville,48.86057,2.35039,44,204,1.35,2,501.2567679827006,140.0,dec_2024
666408,Hôtel-de-Ville,48.85136,2.3566,183,16,0.12,4,103.26989774087103,220.0,dec_2024
670289,Temple,48.85762,2.36642,7,133,0.91,3,801.933944287633,378.0,dec_2024
673532,Passy,48.839085,2.256316,84,221,1.5,2,721.8569801449008,170.0,dec_2024
675260,Popincourt,48.85775,2.37726,169,86,0.58,2,1422.1834191002313,75.0,dec_2024
677231,Panthéon,48.85087,2.34782,212,411,2.77,3,193.5501433133573,350.0,dec_2024
681316,Passy,48.86832,2.28858,109,30,0.37,2,857.2362987766726,120.0,dec_2024
682531,Batignolles-Monceau,48.88245,2.3175,25,133,0.99,7,2078.229457351558,80.0,dec_2024
684781,Ménilmontant,48.85797,2.39975,258,31,0.21,7,2798.5640549844957,100.0,dec_2024
686977,Temple,48.86337,2.36417,350,194,1.31,4,1276.8562524923577,100.0,dec_2024
699404,Buttes-Montmartre,48.89293,2.36052,318,6,0.04,2,4139.165061749905,80.0,dec_2024
700003,Popincourt,48.8622,2.36965,90,79,0.54,4,1356.1189174445099,215.0,dec_2024
700340,Gobelins,48.8375,2.34542,354,151,1.02,1,1627.0573190488233,210.0,dec_2024
702205,Buttes-Montmartre,48.89095,2.33569,110,99,0.71,4,3284.4606462304814,90.0,dec_2024
708085,Ménilmontant,48.87417,2.40091,179,44,0.3,6,3897.710158316828,150.0,dec_2024
708894,Batignolles-Monceau,48.8783,2.29178,363,46,0.32,5,1756.7982151447163,345.0,dec_2024
708918,Buttes-Chaumont,48.88616,2.39412,279,61,0.43,4,4568.099075071064,90.0,dec_2024
713532,Batignolles-Monceau,48.89527,2.32291,363,15,0.1,2,3161.31256163458,160.0,dec_2024
718556,Popincourt,48.85363,2.3767,349,119,0.81,1,1217.7895828216758,360.0,dec_2024
718659,Buttes-Chaumont,48.89163,2.38282,76,46,0.32,4,4665.503916641049,85.0,dec_2024
719726,Buttes-Chaumont,48.88494,2.38881,127,22,0.2,3,4247.689185194638,90.0,dec_2024
721414,Popincourt,48.86286,2.37074,239,91,0.67,2,1461.0926204515006,230.0,dec_2024
722747,Panthéon,48.84792,2.35367,65,213,1.5,7,334.50026472122,100.0,dec_2024
724370,Opéra,48.88069,2.34132,169,14,0.1,4,2410.4646835473113,450.0,dec_2024
726278,Opéra,48.8819,2.33199,364,8,0.06,7,2247.6095510911277,130.0,dec_2024
726854,Temple,48.86185,2.35974,108,39,0.27,3,969.0925310510278,110.0,dec_2024
727384,Entrepôt,48.88234,2.35054,279,9,0.06,5,2799.36715614917,80.0,dec_2024
729422,Bourse,48.8688,2.34998,232,631,4.34,3,1348.2385196813577,160.0,dec_2024
729482,Hôtel-de-Ville,48.858437,2.350457,347,163,1.15,3,290.165274041557,270.0,dec_2024
729645,Vaugirard,48.84348,2.31435,279,100,0.79,4,2147.404391172331,145.0,dec_2024
731574,Bourse,48.86780548095703,2.348078966140747,233,11,0.08,5,1200.1805790077171,300.0,dec_2024
732916,Vaugirard,48.84989,2.29523,363,127,1.02,1,793.9141488415107,125.0,dec_2024
602805,Temple,48.85688,2.36613,106,163,1.19,3,724.264746286731,210.0,dec_2024
607141,Batignolles-Monceau,48.88868129999999,2.3194354,347,1,0.24,1,2775.5871882971696,200.0,dec_2024
611387,Opéra,48.88262,2.33322,357,88,0.6,3,2355.537364214549,130.0,dec_2024
