id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
568394,Hôtel-de-Ville,48.85885,2.35713,358,65,0.45,4,585.1107342575957,349.0,mars_2025
574232,Popincourt,48.851,2.38704,336,168,1.11,3,1586.7081487666328,130.0,mars_2025
574947,Buttes-Chaumont,48.88042,2.37476,317,11,0.09,5,3293.6404201725027,90.0,mars_2025
576992,Temple,48.85817,2.36613,73,134,0.87,5,839.5246075130647,270.0,mars_2025
579530,Observatoire,48.83232,2.31951,131,573,3.74,3,3034.56036978792,89.0,mars_2025
579977,Buttes-Chaumont,48.8754,2.38566,2,92,0.64,7,3230.8645811102324,134.0,mars_2025
580487,Popincourt,48.854846607516215,2.389759658343825,72,16,0.11,4,2020.4522072382927,130.0,mars_2025
582718,Buttes-Montmartre,48.88917,2.33483,56,12,0.08,7,3077.327360685242,130.0,mars_2025
586024,Buttes-Montmartre,48.88579,2.33648,193,26,0.76,2,2774.1019556705965,170.0,mars_2025
586510,Entrepôt,48.87287,2.37204,164,75,0.49,3,2480.589498705359,180.0,mars_2025
586642,Luxembourg,48.85112,2.32897,173,64,0.44,2,960.844085176685,133.0,mars_2025
406902,Hôtel-de-Ville,48.85324,2.3684,28,331,2.12,3,620.9529867745117,120.0,mars_2025
407717,Ménilmontant,48.856,2.39701,149,70,0.53,3,2502.7072519611047,75.0,mars_2025
413674,Passy,48.83794,2.26274,337,93,0.6,5,258.6851840426274,95.0,mars_2025
419757,Buttes-Montmartre,48.88572,2.35045,119,91,0.59,3,3160.924756039454,150.0,mars_2025
419758,Buttes-Chaumont,48.87974,2.39384,365,139,0.89,5,3978.907498037101,180.0,mars_2025
423770,Buttes-Montmartre,48.88903,2.36054,294,35,0.23,3,3726.9016842719516,250.0,mars_2025
425908,Reuilly,48.84647,2.39919,365,4,0.03,6,1980.4339729640396,220.0,mars_2025
444157,Ménilmontant,48.86977,2.38433,25,61,0.39,4,2682.334215958844,97.0,mars_2025
449093,Bourse,48.86886,2.34926,130,120,0.78,2,1338.3735630665328,269.0,mars_2025
452992,Entrepôt,48.88097,2.35096,173,1,0.01,5,2661.598672270164,200.0,mars_2025
461860,Buttes-Montmartre,48.88679,2.33384,235,214,1.37,3,2804.4869044577454,115.0,mars_2025
462307,Bourse,48.86572,2.35025,169,183,1.18,2,1028.4352801865741,130.0,mars_2025
462473,Temple,48.85909,2.3665,95,143,0.92,3,940.418223951874,120.0,mars_2025
466434,Passy,48.86529,2.27509,296,124,0.8,4,1342.6508721834687,155.0,mars_2025
468441,Buttes-Montmartre,48.8846,2.33899,200,151,0.98,4,2731.410032915964,79.0,mars_2025
468471,Popincourt,48.85439,2.39,168,52,0.34,2,1999.7899668395312,90.0,mars_2025
469712,Panthéon,48.83748,2.34972,329,150,1.13,4,1455.21467137307,248.0,mars_2025
471928,Buttes-Montmartre,48.88719200426633,2.347910176276533,178,0,,3,3276.4148477360595,300.0,mars_2025
619009,Buttes-Montmartre,48.88541,2.3412,48,50,0.36,4,2880.043028545729,95.0,mars_2025
622120,Buttes-Montmartre,48.89267,2.34263,281,191,1.29,7,3657.7596392766864,145.0,mars_2025
590216,Gobelins,48.830867767333984,2.354347944259644,70,41,0.27,2,1694.08382930388,65.0,mars_2025
590712,Popincourt,48.85232,2.37299,226,427,2.8,2,918.0963953883279,160.0,mars_2025
390984,Buttes-Montmartre,48.885738,2.340673,237,447,2.89,2,2897.4468872148896,220.0,mars_2025
